Title,Time_Created,Category,Teaser
Q and A with senior minister Ismail Sabri,2020-05-07 09:00:00,Exclusive," Datuk Seri Ismail Sabri Yaakob has been in the spotlight since the Movement Control Order came into force on March 18, appearing on television daily to brief the people about the latest developments with regard to enforcement, sanitisation and other non-health related issues. In an interview with the New Straits Times, the senior minister for the security cluster speaks on a wide range of topics, from the implementation of the MCO to the people's discipline and his fashion choices."
MCO-linked domestic violence rises,2020-04-04 12:01:00,Exclusive," AS the number of people being confined to their homes increases around the globe amid the Covid-19 pandemic, so does the number of domestic violence victims living with constant threat."
Victims living a nightmare with no escape,2020-04-04 12:00:00,Exclusive, The Covid-19 pandemic and ensuing Movement Control Order (MCO) pose a hard time for everyone. But some people are having it worse.
NST Exclusive: Keeping the memory of MH17 victims alive,2020-03-08 11:25:00,Exclusive, On a vast expanse of green not far from the Amsterdam Schiphol international airport stands 298 trees – one for each life lost tragically in a crime against humanity almost six years ago.
KL's iconic buildings to get facelift,2020-02-03 12:13:00,Exclusive, The decaying century-old cluster of colonial buildings at the junction of Jalan Raja and Jalan Tun Perak here will be given a facelift.
"'Make abortion pills available at clinics, pharmacies'",2020-01-06 12:01:00,Exclusive, Experts are calling for abortion pills to be made available at public health clinics and pharmacies to prevent cases of overdose and serious health complications.
Expert: Find solution to curb rise of online abortion pills,2020-01-06 12:00:00,Exclusive, Solutions must be provided to overcome the rise in the sale of abortion pills online.
"'Spare Gunung Pulai, have it declared a protected site'",2020-01-05 13:00:00,Exclusive,THE National Heritage Department wants Gunung Pulai to be spared from quarrying and have it declared a protected site.
"Experts: Artefacts, fossils may be lost",2020-01-05 12:30:00,Exclusive,EXPERTS who have done studies on Gunung Pulai warn that mining the mountain’s resources will destroy millions of years of artefacts and fossils that could rewrite large parts of the country’s pre-historic and early history.
Gunung Pulai faces existential threat [NSTTV],2020-01-05 12:12:00,Exclusive,"GUNUNG Pulai, an underrated historical landmark formed some 450 million years ago by the collision of tectonic plates in Baling, Kedah, is in danger of being wiped off the map."
Postcard from Zaharah: Making history with disposable hijab,2019-12-29 12:39:00,Exclusive," Christmas was a normal working day at the Accident and Emergency Department of Pilgrim Hospital Boston in Lincolnshire, the United Kingdom, where Farah Shaheera Roslan was on duty."
"Crack down on those polluting waterways, says IWK CEO",2019-12-28 13:28:00,Exclusive, NATIONAL sewerage company Indah Water Konsortium Sdn Bhd (IWK) recently came under fire for the odour pollution that caused a major water supply disruption in the Klang Valley.
Thousands rush to apply for 'Back For Good' programme,2019-12-27 14:00:00,Exclusive," With just days before the Dec 31 deadline, thousands of illegal immigrants who want to be repatriated voluntarily through the “Back For Good” (B4G) programme are rushing to submit their applications."
Expert:High time we focus on water security,2019-12-25 12:15:00,Exclusive,THE unscheduled water disruption in some parts of the city here following odour pollution at the Sungai Semenyih water treatment plant should be treated as a water security issue rather than a water pollution incident.
MWA: Crack down on waste dumping at rivers,2019-12-25 12:06:00,Exclusive, The Malaysian Water Association (MWA) has called on local authorities to step up enforcement to curb illegal waste dumping by unscrupulous parties.
How a 1911 cholera outbreak helped improve Msia's health services,2019-12-25 12:00:00,Exclusive,"THE unfortunate news of a 3-month-old boy from Tuaran, Sabah, who recently contracted the polio virus has shocked many people.This stemmed from the fact that the vaccine-preventable disease was Malaysia’s first case in nearly three decades after it was eradicated."
Banting Hospital ready for any water cut,2019-12-24 13:15:00,Exclusive,The Banting Hospital has allayed fears that its operations could be affected by any water cut following the pollution in the Sungai Semenyih water treatment plant on Saturday.
"Water woes linked to apathy, lack of willpower",2019-12-24 13:00:00,Exclusive," The lackadaisical attitude of government departments, agencies and officers towards protecting water resources needs to be addressed in tackling the spate of water disruptions."
MB:Impose heavier penalties on perpetrators,2019-12-24 12:50:00,Exclusive, Selangor Menteri Besar Datuk Seri Amirudin Shari has urged Putrajaya to take stronger measures against those found guilty of polluting the country’s water supply.
Residents fear water disruption will mar Christmas,2019-12-24 12:14:00,Exclusive,THE sudden water disruption caused by the Sungai Semenyih water treatment plant shutdown since Saturday has left residents in several districts in the lurch over their Christmas preparations.
Teen chef wins 17 medals,2019-12-24 12:02:00,Exclusive, Winning 17 medals at the 2019 World Chef Championship has inspired a youngster who dreams of becoming a celebrity chef.
Graft battle: Mat Sabu to start cracking whip,2019-12-24 12:00:00,Exclusive,"An HOST of irregularities, malfeasance, corruption and incompetence has plagued the Defence Ministry for decades."
"We will miss you, Monggoh Orow",2019-12-24 11:31:00,Exclusive,"IN both politics and sports, former Tuaran member of parliament Datuk Monggoh Orow (1990-1994) always worked like a horse to give his best for the people."
Transport sector set for major changes beginning 2020,2019-12-23 12:48:00,Exclusive," THE country’s transport sector is set to experience a sea change, with a slew of initiatives set to be rolled out in 2020 aimed at improving public and private transport as well as boosting the economy."
'Transport initiatives must be backed by research data',2019-12-23 12:34:00,Exclusive,"Transport advocates and experts believe that while the initiatives spelt out by the authorities for 2020 are commendable, they have to be backed by data and studies."
Msian independence fighter Lim Kean Chye turns 100,2019-12-22 12:03:00,Exclusive," Lim Kean Chye sat in his wheelchair, calmly filling his pipe with tobacco and puffing away, as his close friends around him were reminiscing about the good old days."
Malaysia's batik industry set for a renaissance,2019-12-22 12:01:00,Exclusive," The batik-making industry in Malaysia is set for a revival through a project to boost its appeal, especially on the international front."
Are we ready for an ageing Malaysia?,2019-12-15 12:24:00,Exclusive," Malaysia is well on its way to becoming an ageing society by 2030 when it is projected that 15 per cent of its population will be 60 years old and above, according to the Department of Statistics."
"Downturn may affect M'sian pilots with Etihad, Hong Kong Airlines",2019-12-06 12:19:00,Exclusive, The “wings” of several hundred pilots flying for several international airlines are expected to be clipped soon.
RMAF rescues heart attack victim from floods,2019-12-04 12:10:00,Exclusive,The Royal Malaysian Air Force (RMAF) conducted a mercy flight yesterday to transfer an elderly man who suffered a heart attack and a centipede bite to Jerteh Hospital here.
The gong-making village in Kudat,2019-12-04 12:08:00,Exclusive, IT is fascinating and at the same time worrying to observe 56-year-old Darwin Kunama welding metal without wearing safety glasses.
