Title,Time_Created,Category,Teaser
Q and A with senior minister Ismail Sabri,"May 7, 2020 @ 9:00am",EXCLUSIVE,"KUALA LUMPUR: Datuk Seri Ismail Sabri Yaakob has been in the spotlight since the Movement Control Order came into force on March 18, appearing on television daily to brief the people about the latest developments with regard to enforcement, sanitisation and other non-health related issues. In an interview with the New Straits Times, the senior minister for the security cluster speaks on a wide range of topics, from the implementation of the MCO to the people's discipline and his fashion choices."
MCO-linked domestic violence rises,"Apr 4, 2020 @ 12:01pm",EXCLUSIVE,"KUALA LUMPUR: AS the number of people being confined to their homes increases around the globe amid the Covid-19 pandemic, so does the number of domestic violence victims living with constant threat."
Victims living a nightmare with no escape,"Apr 4, 2020 @ 12:00pm",EXCLUSIVE,KUALA LUMPUR: The Covid-19 pandemic and ensuing Movement Control Order (MCO) pose a hard time for everyone. But some people are having it worse.
NST Exclusive: Keeping the memory of MH17 victims alive,"Mar 8, 2020 @ 11:25am",EXCLUSIVE,AMSTERDAM: On a vast expanse of green not far from the Amsterdam Schiphol international airport stands 298 trees – one for each life lost tragically in a crime against humanity almost six years ago.
KL's iconic buildings to get facelift,"Feb 3, 2020 @ 12:13pm",EXCLUSIVE,KUALA LUMPUR: The decaying century-old cluster of colonial buildings at the junction of Jalan Raja and Jalan Tun Perak here will be given a facelift.
"'Make abortion pills available at clinics, pharmacies'","Jan 6, 2020 @ 12:01pm",EXCLUSIVE,KUALA LUMPUR: Experts are calling for abortion pills to be made available at public health clinics and pharmacies to prevent cases of overdose and serious health complications.
Expert: Find solution to curb rise of online abortion pills,"Jan 6, 2020 @ 12:00pm",EXCLUSIVE,KUALA LUMPUR: Solutions must be provided to overcome the rise in the sale of abortion pills online.
"'Spare Gunung Pulai, have it declared a protected site'","Jan 5, 2020 @ 1:00pm",EXCLUSIVE,THE National Heritage Department wants Gunung Pulai to be spared from quarrying and have it declared a protected site.
"Experts: Artefacts, fossils may be lost","Jan 5, 2020 @ 12:30pm",EXCLUSIVE,EXPERTS who have done studies on Gunung Pulai warn that mining the mountain’s resources will destroy millions of years of artefacts and fossils that could rewrite large parts of the country’s pre-historic and early history.
Gunung Pulai faces existential threat [NSTTV],"Jan 5, 2020 @ 12:12pm",EXCLUSIVE,"GUNUNG Pulai, an underrated historical landmark formed some 450 million years ago by the collision of tectonic plates in Baling, Kedah, is in danger of being wiped off the map."
Postcard from Zaharah: Making history with disposable hijab,"Dec 29, 2019 @ 12:39pm",EXCLUSIVE,"LONDON: Christmas was a normal working day at the Accident and Emergency Department of Pilgrim Hospital Boston in Lincolnshire, the United Kingdom, where Farah Shaheera Roslan was on duty."
"Crack down on those polluting waterways, says IWK CEO","Dec 28, 2019 @ 1:28pm",EXCLUSIVE,KUALA LUMPUR: NATIONAL sewerage company Indah Water Konsortium Sdn Bhd (IWK) recently came under fire for the odour pollution that caused a major water supply disruption in the Klang Valley.
Thousands rush to apply for 'Back For Good' programme,"Dec 27, 2019 @ 2:00pm",EXCLUSIVE,"PUTRAJAYA: With just days before the Dec 31 deadline, thousands of illegal immigrants who want to be repatriated voluntarily through the “Back For Good” (B4G) programme are rushing to submit their applications."
Expert:High time we focus on water security,"Dec 25, 2019 @ 12:15pm",EXCLUSIVE,KUALA LUMPUR:THE unscheduled water disruption in some parts of the city here following odour pollution at the Sungai Semenyih water treatment plant should be treated as a water security issue rather than a water pollution incident.
MWA: Crack down on waste dumping at rivers,"Dec 25, 2019 @ 12:06pm",EXCLUSIVE,KUALA LUMPUR: The Malaysian Water Association (MWA) has called on local authorities to step up enforcement to curb illegal waste dumping by unscrupulous parties.
How a 1911 cholera outbreak helped improve Msia's health services,"Dec 25, 2019 @ 12:00pm",EXCLUSIVE,"KUALA LUMPUR:THE unfortunate news of a 3-month-old boy from Tuaran, Sabah, who recently contracted the polio virus has shocked many people.This stemmed from the fact that the vaccine-preventable disease was Malaysia’s first case in nearly three decades after it was eradicated."
Banting Hospital ready for any water cut,"Dec 24, 2019 @ 1:15pm",EXCLUSIVE,BANTING:The Banting Hospital has allayed fears that its operations could be affected by any water cut following the pollution in the Sungai Semenyih water treatment plant on Saturday.
"Water woes linked to apathy, lack of willpower","Dec 24, 2019 @ 1:00pm",EXCLUSIVE,"KUALA LUMPUR: The lackadaisical attitude of government departments, agencies and officers towards protecting water resources needs to be addressed in tackling the spate of water disruptions."
MB:Impose heavier penalties on perpetrators,"Dec 24, 2019 @ 12:50pm",EXCLUSIVE,DENGKIL: Selangor Menteri Besar Datuk Seri Amirudin Shari has urged Putrajaya to take stronger measures against those found guilty of polluting the country’s water supply.
Residents fear water disruption will mar Christmas,"Dec 24, 2019 @ 12:14pm",EXCLUSIVE,KUALA LUMPUR:THE sudden water disruption caused by the Sungai Semenyih water treatment plant shutdown since Saturday has left residents in several districts in the lurch over their Christmas preparations.
Residents fear water disruption will mar Christmas,"Dec 24, 2019 @ 12:14pm",EXCLUSIVE,KUALA LUMPUR:THE sudden water disruption caused by the Sungai Semenyih water treatment plant shutdown since Saturday has left residents in several districts in the lurch over their Christmas preparations.
Teen chef wins 17 medals,"Dec 24, 2019 @ 12:02pm",EXCLUSIVE,ALOR SETAR: Winning 17 medals at the 2019 World Chef Championship has inspired a youngster who dreams of becoming a celebrity chef.
Graft battle: Mat Sabu to start cracking whip,"Dec 24, 2019 @ 12:00pm",EXCLUSIVE,"KUALA LUMPUR:An HOST of irregularities, malfeasance, corruption and incompetence has plagued the Defence Ministry for decades."
"We will miss you, Monggoh Orow","Dec 24, 2019 @ 11:31am",EXCLUSIVE,"IN both politics and sports, former Tuaran member of parliament Datuk Monggoh Orow (1990-1994) always worked like a horse to give his best for the people."
Transport sector set for major changes beginning 2020,"Dec 23, 2019 @ 12:48pm",EXCLUSIVE,"KUALA LUMPUR: THE country’s transport sector is set to experience a sea change, with a slew of initiatives set to be rolled out in 2020 aimed at improving public and private transport as well as boosting the economy."
'Transport initiatives must be backed by research data',"Dec 23, 2019 @ 12:34pm",EXCLUSIVE,"KUALA LUMPUR:Transport advocates and experts believe that while the initiatives spelt out by the authorities for 2020 are commendable, they have to be backed by data and studies."
